Title,Date Creat,Latitude,Longitude,Northing,Easting,Descriptio,Biocontrol,Chemical c,Density,Detection,Detectio_1,Notes,Number of,Quarter,Species,Status,timestamp,X,Y
Big Pp In Camp 2 Untreated,,-24.202670000000001,30.824030000000000,7321613.715281669981778,278992.225215728976764,,-,-,High,Car,Primary,,,2020 - Quarter 3,Prickly pear,,05:10.0,30.824030000000000,-24.202670000000001
Big Pp In Camp 2 Untreated,,-24.202670000000001,30.824030000000000,7321613.715281669981778,278992.225215728976764,,-,-,High,Car,Primary,,,2020 - Quarter 3,Prickly pear,,05:10.0,30.824030000000000,-24.202670000000001
Big Qon,,-24.183350000000001,30.855969999999999,7323803.941872949711978,282204.476321452995762,,-,MSMA,High,Car,Primary,needs biological control,,2019 - Quarter 4,Queen of the night,,34:30.0,30.855969999999999,-24.183350000000001
Boxing Glove Cactus Infestation. All Sprayed 20 August 2020. Update They Dying Need Respray,,-24.228000000000002,30.914670000000001,7318948.469147579744458,288242.981097340991255,,-,MSMA,High,Car,Primary,Dying. Needs respray,,,Boxing Glove cactus,,2020/09/01 08:46:17.000,30.914670000000001,-24.228000000000002
Jointed Cactus Med Car. Already Treated With Both. Revisited Bugs Have Taken And Spray Killed Part Of Plant,,-24.223690000000001,30.902270000000001,7319406.997210989706218,286976.260013526014518,,Mealy Bug,MSMA,Med,Car,Primary,bugs have taken,,,Jointed cactus,,2020/07/23 10:01:09.000,30.902270000000001,-24.223690000000001
Jointed Cactus Untreated,,-24.222100000000001,30.922120000000000,7319613.274765280075371,288989.991944562993012,,-,-,Med,Car,Primary,untreated,,,Jointed cactus,,2020/08/27 16:02:02.000,30.922120000000000,-24.222100000000001
Jointed Cactus Walk Large Cut At Base With Saw,,-24.214500000000001,30.825820000000000,7320306.135303909890354,279194.489780628995504,,-,-,High,Foot,Secondary,"Cactus grown to top of tree, looks dying, cut root at base",-,2020 - Quarter 2,Jointed cactus,,26:09.0,30.825820000000000,-24.214500000000001
Jointed Cactus Walk Large Cut At Base With Saw,,-24.214504569999999,30.825821470000001,7320305.631409071385860,279194.647001480974723,,-,-,High,Foot,Secondary,Cut down with saw. Dead,,,Jointed cactus,,2020/07/01 12:17:11.000,30.825821470000001,-24.214504569999999
"Jointed Cactus, needs respray, 24 Feb",,-24.221959999999999,30.922190000000001,7319628.887817589566112,288996.871744528994896,,Mealy Bug,-,Med,Car,Primary,already infected with bugs,,2020 - Quarter 2,Jointed cactus,,18:17.0,30.922190000000001,-24.221959999999999
"Jointed Cactus. 24 feb still alive, needs respray",,-24.221959999999999,30.922190000000001,7319628.887817589566112,288996.871744528994896,,Mealy Bug,-,Med,Car,Primary,already infected with bugs,,2020 - Quarter 2,Jointed cactus,,18:17.0,30.922190000000001,-24.221959999999999
