Title,,,,,Date Created,Latitude,Longitude,Northing,Easting,Description,Biocontrol,Camera,Chemical c,Density,Detection method,Detection method description,Done,Done_1,field_2,field_3,Grid,id,layer,Notes,Number of,path,Plot,Point Id,Quarter,Seedling,Sex,Species,Status,timestamp,Tree#,WKT,X,Y,,,,,,,
Pp Large Car Bugs 8c,,,,,,-24.2375,30.94662,-2782375.34,3444961.98,,Cochineal bug,,,High,Car,Primary,,,,,,,,,,,,,,,,Prickly Pear,,00:46.0,,,30.94662,-24.2375,,,,,,,
PP large car bugs 8c,,,,,,-24.2375,30.94662,-2782375.34,3444961.98,,Cochineal bug,,,High,Car,Primary,,,,,,,,,,,,,,,,Prickly Pear,,00:46.0,,,30.94662,-24.2375,,,,,,,
Pp Large X2  Car Bugs 8c,,,,,,-24.2375,30.94662,-2782375.34,3444961.98,,Cochineal bug,,-,High,Car,8c,,,,,,,,,,,,,2020 - Quarter 3,,,Prickly Pear,,00:46.0,,,30.94662,-24.2375,,,,,,,
,,,,,,-24.2373,30.93574,-2782350923,3443750824,,,,,,,,0,1,,,,,,,,,,l18-6,,,,,,,,,30.93574,-24.2373,,,,,,,
,,,,,,-24.2373,30.93574,-2782350923,3443750824,,,,,,,,0,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23729,30.93381,-2782349703,3443535977,,,,,,,,0,1,,,,,,,,,,l18-3,,,,,,,,,30.93381,-24.23729,,,,,,,
,,,,,,-24.23729,30.93381,-2782349703,3443535977,,,,,,,,0,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23727,30.93182,-2782347261,3443314452,,,,,,,,0,1,,,,,,,,,,l18-2,,,,,,,,,30.93182,-24.23727,,,,,,,
,,,,,,-24.23727,30.93182,-2782347261,3443314452,,,,,,,,0,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23572595,30.93346657,-2782158764,3443497747,,,,,,,,,,30.93346657,-24.23572595,L18,4,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23571362,30.93541504,-2782157259,3443714.65,,,,,,,,,,30.93541504,-24.23571362,L18,1,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23570129,30.93150577,-2782155753,3443279472,,,,,,,,,,30.93150577,-24.23570129,L18,5,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23452984,30.95731678,-2782012745,3446152.74,,,,,,,,1,1,,,,,,,,,,N18,,,,,,,,,30.95731678,-24.23452984,,,,,,,
,,,,,,-24.23452984,30.95731678,-2782012745,3446152.74,,,,,,,,1,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23452984,30.95731678,-2782012745,3446152.74,,,,,,,,,,30.95731678,-24.23452984,N18,3,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23451751,30.95925263,-2782011239,3446368238,,,,,,,,1,1,,,,,,,,,,N18,,,,,,,,,30.95925263,-24.23451751,,,,,,,
,,,,,,-24.23451751,30.95925263,-2782011239,3446368238,,,,,,,,1,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23451751,30.95925263,-2782011239,3446368238,,,,,,,,,,30.95925263,-24.23451751,N18,6,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23449285,30.9553686,-2782008229,3445935.87,,,,,,,,1,1,,,,,,,,,,N18,,,,,,,,,30.9553686,-24.23449285,,,,,,,
,,,,,,-24.23449285,30.9553686,-2782008229,3445935.87,,,,,,,,1,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23449285,30.9553686,-2782008229,3445935.87,,,,,,,,,,30.9553686,-24.23449285,N18,2,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23278,30.93584,-2781799129,3443761956,,,,,,,,0,1,,,,,,,,,,l18-5,,,,,,,,,30.93584,-24.23278,,,,,,,
,,,,,,-24.23278,30.93584,-2781799129,3443761956,,,,,,,,0,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23277,30.93389,-2781797909,3443544883,,,,,,,,0,1,,,,,,,,,,l18-4,,,,,,,,,30.93389,-24.23277,,,,,,,
,,,,,,-24.23277,30.93189,-2781797909,3443322244,,,,,,,,0,1,,,,,,,,,,l18-1,,,,,,,,,30.93189,-24.23277,,,,,,,
,,,,,,-24.23277,30.93389,-2781797909,3443544883,,,,,,,,0,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23277,30.93189,-2781797909,3443322244,,,,,,,,0,1,,,,,Point locations,,,file:///C:/Users/Daikoro/Downloads/Point%20locations.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
Huppel 3,,,,,2021-03-25T13:54:36+02:00,-24.23241,30.95448,-2781753961,3445836951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-24.23122475,30.93542737,-2781609272,3443716022,,,,,,,,,,30.93542737,-24.23122475,L18,2,walking points,,,file:///C:/Users/Daikoro/Downloads/walking%20points.csv?type=csv&delimiter=,,,,,,,,,,,,,,,,,,,
