Title,Date Creat,Latitude,Longitude,Northing,Easting,Descriptio,Biocontrol,Chemical c,Density,Detection,Detectio_1,Notes,Number of,Quarter,Species,Status,timestamp,X,Y,NewQuarter,NewControl
Big Pp In Camp 2 Untreated,NA,-24.20267,30.82403,7321613.71528167,278992.225215729,NA,-,-,High,Car,Primary,NA,NA,2020 - Quarter 3,prickly pear,NA,NA,30.82403,-24.20267,NA,Untreated
Big Qon,NA,-24.18335,30.85597,7323803.94187295,282204.476321453,NA,-,msma,High,Car,Primary,needs biological control,NA,2019 - Quarter 4,queen of the night,NA,NA,30.85597,-24.18335,NA,Chemical
Boxing Glove Cactus Infestation. All Sprayed 20 August 2020. Update They Dying Need Respray,NA,-24.228,30.91467,7318948.46914758,288242.981097341,NA,-,msma,High,Car,Primary,dying. needs respray,NA,2020 - Quarter 3,boxing glove cactus,NA,2020-09-01T08:46:17Z,30.91467,-24.228,2020 - Quarter 3,Dead
Jointed Cactus Med Car. Already Treated With Both. Revisited Bugs Have Taken And Spray Killed Part Of Plant,NA,-24.22369,30.90227,7319406.99721099,286976.260013526,NA,mealy bug,msma,Med,Car,Primary,bugs have taken,NA,2020 - Quarter 3,jointed cactus,NA,2020-07-23T10:01:09Z,30.90227,-24.22369,2020 - Quarter 3,Both
Jointed Cactus Untreated,NA,-24.2221,30.92212,7319613.27476528,288989.991944563,NA,-,-,Med,Car,Primary,untreated,NA,2020 - Quarter 3,jointed cactus,NA,2020-08-27T16:02:02Z,30.92212,-24.2221,2020 - Quarter 3,Untreated
Jointed Cactus Walk Large Cut At Base With Saw,NA,-24.2145,30.82582,7320306.13530391,279194.489780629,NA,-,-,High,Foot,Secondary,"cactus grown to top of tree, looks dying, cut root at base",-,2020 - Quarter 2,jointed cactus,NA,NA,30.82582,-24.2145,NA,Dead
Jointed Cactus Walk Large Cut At Base With Saw,NA,-24.21450457,30.82582147,7320305.631409071,279194.647001481,NA,-,-,High,Foot,Secondary,cut down with saw. dead,NA,2020 - Quarter 3,jointed cactus,NA,2020-07-01T12:17:11Z,30.82582147,-24.21450457,2020 - Quarter 3,Dead
"Jointed Cactus, needs respray, 24 Feb",NA,-24.22196,30.92219,7319628.88781759,288996.871744529,NA,mealy bug,-,Med,Car,Primary,already infected with bugs,NA,2020 - Quarter 2,jointed cactus,NA,NA,30.92219,-24.22196,NA,Bio
"Jointed Cactus. 24 feb still alive, needs respray",NA,-24.22196,30.92219,7319628.88781759,288996.871744529,NA,mealy bug,-,Med,Car,Primary,already infected with bugs,NA,2020 - Quarter 2,jointed cactus,NA,NA,30.92219,-24.22196,NA,Bio
Jointed Cactus. Car Large. Spray,NA,-24.21328,30.93625,7320611.51557353,290410.877223843,NA,-,msma,High,Car,Primary,NA,NA,2020 - Quarter 3,jointed cactus,NA,2020-07-23T15:53:16Z,30.93625,-24.21328,2020 - Quarter 3,Chemical
Jointed Cactus. Infected With Bugs,NA,-24.22196,30.92219,7319628.88781759,288996.871744529,NA,mealy bug,-,Med,Car,Primary,bugs have taken,NA,2020 - Quarter 2,jointed cactus,NA,2020-05-19T09:18:17Z,30.92219,-24.22196,2020 - Quarter 2,Bio
Jointed Cactus. Spray Car Med,NA,-24.21634,30.89667,7320212.57374379,286395.145096206,NA,-,msma,Med,Car,Primary,NA,NA,2020 - Quarter 3,jointed cactus,NA,2020-08-11T10:55:07Z,30.89667,-24.21634,2020 - Quarter 3,Chemical
Jointed Cactus. Spray Med Car,NA,-24.21633,30.89669,7320213.71201994,286397.160130503,NA,-,msma,Med,Car,Primary,NA,NA,2020 - Quarter 3,jointed cactus,NA,2020-08-11T10:54:51Z,30.89669,-24.21633,2020 - Quarter 3,Chemical
Jointed Cactus. Update 3 September Spray Again Mostly Dead,NA,-24.22305,30.905,7319482.05281417,287252.509130802,NA,-,msma,Med,Car,Primary,dying. needs respray,NA,2020 - Quarter 3,jointed cactus,NA,2020-09-03T14:28:24Z,30.905,-24.22305,2020 - Quarter 3,Dead
Large Pp Both Walk,NA,-24.21302,30.85387,7320514.15940964,282041.569829681,NA,cochineal bug,msma,High,Foot,Secondary,NA,NA,2020 - Quarter 2,prickly pear,NA,2020-05-25T17:32:40Z,30.85387,-24.21302,2020 - Quarter 2,Both
"Large Pp Both Walk, dead March",NA,-24.21302,30.85387,7320514.15940964,282041.569829681,NA,cochineal bug,msma,High,Foot,Secondary,NA,NA,2020 - Quarter 2,prickly pear,NA,NA,30.85387,-24.21302,NA,Both
Large Qon Already Bugs,NA,-24.20907,30.82857,7320911.964629239,279464.510719598,NA,mealy bug,-,High,Car,Primary,already infected with bugs,-,2020 - Quarter 2,queen of the night,Treated,NA,30.82857,-24.20907,NA,Bio
