Species,Quarter,NewControl,Latitude,Longitude,Northing,Easting
prickly pear,2020 - Quarter 3,Untreated,-24.20267,30.82403,7321613.71528167,278992.225215729
boxing glove cactus,2020 - Quarter 3,Dead,-24.228,30.91467,7318948.46914758,288242.981097341
jointed cactus,2020 - Quarter 3,Both,-24.22369,30.90227,7319406.99721099,286976.260013526
jointed cactus,2020 - Quarter 3,Untreated,-24.2221,30.92212,7319613.27476528,288989.991944563
jointed cactus,2020 - Quarter 2,Dead,-24.2145,30.82582,7320306.13530391,279194.489780629
jointed cactus,2020 - Quarter 3,Dead,-24.21450457,30.82582147,7320305.631409071,279194.647001481
jointed cactus,2020 - Quarter 2,Bio,-24.22196,30.92219,7319628.88781759,288996.871744529
jointed cactus,2020 - Quarter 2,Bio,-24.22196,30.92219,7319628.88781759,288996.871744529
jointed cactus,2020 - Quarter 3,Chemical,-24.21328,30.93625,7320611.51557353,290410.877223843
jointed cactus,2020 - Quarter 2,Bio,-24.22196,30.92219,7319628.88781759,288996.871744529
jointed cactus,2020 - Quarter 3,Chemical,-24.21634,30.89667,7320212.57374379,286395.145096206
jointed cactus,2020 - Quarter 3,Chemical,-24.21633,30.89669,7320213.71201994,286397.160130503
jointed cactus,2020 - Quarter 3,Dead,-24.22305,30.905,7319482.05281417,287252.509130802
prickly pear,2020 - Quarter 2,Both,-24.21302,30.85387,7320514.15940964,282041.569829681
prickly pear,2020 - Quarter 2,Both,-24.21302,30.85387,7320514.15940964,282041.569829681
queen of the night,2020 - Quarter 2,Bio,-24.20907,30.82857,7320911.964629239,279464.510719598
queen of the night,2020 - Quarter 2,Bio,-24.20906922,30.82857443,7320912.05802775,279464.959441293
moon cactus,2020 - Quarter 3,Untreated,-24.21473599,30.82293106,7320275.42147062,278901.407930483
moon cactus,2020 - Quarter 3,Untreated,-24.21410932,30.8231815,7320345.23465707,278925.768043399
moon cactus,2020 - Quarter 3,Untreated,-24.21575317,30.82407069,7320164.55278757,279018.93953459
moon cactus,2021 - Quarter 1,Untreated,-24.21457803,30.82301661,7320293.05428064,278909.826191524
moon cactus,2020 - Quarter 2,Untreated,-24.21382,30.82313,7320377.20118774,278920.036458014
moon cactus,2020 - Quarter 3,Untreated,-24.21382424,30.82313279,7320376.73594009,278920.327220018
moon cactus,2020 - Quarter 3,Untreated,-24.21451977,30.82295983,7320299.41782746,278903.957248288
moon cactus,2020 - Quarter 3,Untreated,-24.21492,30.82395,7320256.65227251,279005.240282135
moon cactus,2020 - Quarter 3,Untreated,-24.21486,30.82433,7320263.90009823,279043.741061886
moon cactus,2020 - Quarter 2,Untreated,-24.21417,30.82539,7320342.00921484,279150.236488614
moon cactus,2020 - Quarter 3,Untreated,-24.21417166,30.82538953,7320341.82459247,279150.191604685
moon cactus,2020 - Quarter 3,Untreated,-24.21577297,30.82433364,7320162.77582636,279045.686727283
moon cactus,2020 - Quarter 2,Bio,-24.20917,30.82891,7320901.42466036,279499.225163655
moon cactus,2020 - Quarter 3,Untreated,-24.21419908,30.82338329,7320335.611490119,278946.423099262
moon cactus,2020 - Quarter 2,Both,-24.21502,30.82324,7320244.45089934,278933.283789908
moon cactus,2020 - Quarter 2,Untreated,-24.21381,30.82302,7320378.13466423,278908.844144423
moon cactus,2020 - Quarter 3,Untreated,-24.21381403,30.82301646,7320377.6826523,278908.491471168
moon cactus,2020 - Quarter 3,Chemical,-24.21721611,30.82353844,7320001.65949691,278967.394618018
prickly pear,2020 - Quarter 3,Bio,-24.2272,30.95286,7319094.51342852,292120.837298676
prickly pear,2020 - Quarter 2,Bio,-24.21393,30.82301,7320364.826373641,278908.03547773
prickly pear,2020 - Quarter 2,Removed,-24.2136,30.83322,7320417.51449611,279944.712214103
prickly pear,2020 - Quarter 3,Bio,-24.186889999999998,30.85315,7323407.42334722,281923.946783528
prickly pear,2020 - Quarter 3,Bio,-24.186889999999998,30.85315,7323407.42334722,281923.946783528
prickly pear,2020 - Quarter 3,Bio,-24.186889999999998,30.85315,7323407.42334722,281923.946783528
prickly pear,2020 - Quarter 3,Removed,-24.18681,30.8532,7323416.36286883,281928.891249655
prickly pear,2020 - Quarter 3,Removed,-24.18681,30.8532,7323416.36286883,281928.891249655
prickly pear,2020 - Quarter 3,Untreated,-24.17534,30.85674,7324692.39616157,282269.118463832
prickly pear,2020 - Quarter 3,Bio,-24.17534,30.85674,7324692.39616157,282269.118463832
prickly pear,2020 - Quarter 3,Untreated,-24.17534,30.85674,7324692.39616157,282269.118463832
prickly pear,2020 - Quarter 3,Bio,-24.18686,30.85313,7323410.71519251,281921.863516813
prickly pear,2020 - Quarter 3,Bio,-24.18681,30.85322,7323416.3940811,281930.923477869
prickly pear,2020 - Quarter 3,Bio,-24.18681,30.85322,7323416.3940811,281930.923477869
prickly pear,2020 - Quarter 3,Bio,-24.18681,30.85322,7323416.3940811,281930.923477869
prickly pear,2020 - Quarter 3,Bio,-24.18686,30.85313,7323410.71519251,281921.863516813
prickly pear,2020 - Quarter 3,Bio,-24.18686,30.85313,7323410.71519251,281921.863516813
prickly pear,2020 - Quarter 3,Bio,-24.1868,30.8532,7323417.470555,281928.874237021
prickly pear,2020 - Quarter 3,Bio,-24.1868,30.8532,7323417.470555,281928.874237021
prickly pear,2020 - Quarter 3,Bio,-24.18681,30.85322,7323416.3940811,281930.923477869
prickly pear,2020 - Quarter 3,Chemical,-24.17653,30.86816,7324578.32156135,283431.62958665
prickly pear,2020 - Quarter 4,Removed,-24.19836,30.92988,7322254.55396843,289739.275906074
prickly pear,2020 - Quarter 3,Removed,-24.21196,30.9474,7320774.41968681,291541.417935195
prickly pear,2020 - Quarter 2,Both,-24.19106,30.84515,7322933.00787371,281118.176083508
prickly pear,2020 - Quarter 2,Both,-24.19106,30.84515,7322933.00787371,281118.176083508
prickly pear,2020 - Quarter 3,Bio,-24.1794,30.86964,7324262.71028714,283586.869019126
prickly pear,2020 - Quarter 3,Untreated,-24.19651,30.93444,7322466.325691979,290199.53713901
prickly pear,2020 - Quarter 3,Bio,-24.21916,30.89929,7319904.21842367,286666.000413241
prickly pear,2020 - Quarter 3,Bio,-24.21916,30.89929,7319904.21842367,286666.000413241
prickly pear,2020 - Quarter 4,Bio,-24.17798,30.85362,7324395.10449393,281956.551408447
prickly pear,2020 - Quarter 2,Both,-24.21496,30.8227,7320250.24175365,278878.321357077
